name,calories,proteins,lipids,carbs,fibers,userId,
Cafea 3 in 1 Doncafe,452,1,16,77,0,admin,
Cafea 4 in 1 cu guarana Doncafe,435,3,10,84,0,admin,
Cafea Arabita pentru filtru Amway,183,13,13,2,0,admin,
Cafea aroma italiana Kimbo ,11,1,0,1,0,admin,
Cafea cappuccino cu alune Doncafe Mixes,450,3,13,80,0,admin,
Cafea cool break cu aroma capsuni Jacobs,450,5,16,74,0,admin,
Cafea cu lapte fara zahar de la automat,23,0,2,1,0,admin,
Cafea cu lapte si zahar de la automat,50,0,2,8,0,admin,
Cafea dark and rich Illy,28,0,0,6,0,admin,
Cafea din plante in amestec cu cafea arabica si robusta Fitness Coffee,48,1,0,2,4,admin,
Cafea espresso,2,0,0,0,0,admin,
Cafea espresso machiatto Starbucks ,16,1,1,2,0,admin,
Cafea frappe Original Nescafe,392,15,4,73,0,admin,
Cafea instant 3 in 1 Cool Nescafe,389,11,8,66,0,admin,
Cafea instant 3 in 1 Good morning Jacobs,427,3,14,74,0,admin,
Cafea instant Cappuccino Vanilla Doncafe,428,5,9,81,0,admin,
Cafea Jacobs 3 in 1 alune de padure,400,4,14,66,0,admin,
Cafea Jacobs 3 in 1 Classic,405,4,13,68,0,admin,
Cafea Jacobs 3 in 1 intense,407,3,13,71,0,admin,
Cafea Latte Macchiato fara zahar Dolce Gusto,34,2,2,3,0,admin,
Cafea Latte machiato Dolce Gusto,39,2,4,2,0,admin,
Cafea Latte Machiato Illy,46,1,1,7,0,admin,
Cafea Lavazza Crema e Gusto,12,1,0,2,0,admin,
Cafea Lavazza Qualità Oro,12,1,0,2,0,admin,
Cafea Lavazza Rossa,12,1,0,2,0,admin,
Cafea macinata Lavazza Suerte,12,1,0,2,0,admin,
Cafea Milka cappuccino Jacobs,415,8,13,69,4,admin,
Cafea Nescafe Brasero,66,7,0,9,27,admin,
Cafea Nescafe Frappe,397,7,8,74,0,admin,
Cafea Nescafe frappe cu aroma de gianduia,394,11,8,67,0,admin,
Cafea Nescafe frappe cu aroma de peppermint,397,12,8,67,0,admin,
Cafea preparata Jacobs Kronung cu Alintaroma,2,0,0,0,0,admin,
Cafea solubila Amigo,222,11,0,44,0,admin,
Cafea solubila aroma de capsune Jacobs Cool Break,450,5,16,74,0,admin,
Cafea White Chocolate Mocha cu lapte 3.5% Gloria Jeans,101,3,4,13,0,admin,
Cafea White Chocolate Mocha cu lapte degresat 2% Gloria Jeans,82,3,2,13,0,admin,
Caffe Latte cu lapte degresat Starbucks,38,4,0,5,0,admin,
Caffe Latte cu lapte integral Starbucks,54,3,3,4,0,admin,
Campari bitter,267,0,0,27,0,admin,
Cappuccino clasic Doncafe,434,6,10,80,0,admin,
Cappuccino Creamy instant La Festa,444,2,13,79,0,admin,
Cappuccino creamy La Festa,438,3,11,80,2,admin,
Cappuccino fara zahar,369,11,15,48,0,admin,
Cappuccino fara zahar Crastan,429,17,15,57,0,admin,
Cappuccino GranArom Lidl,383,12,9,61,3,admin,
Cappuccino instant Rafael,458,7,18,63,6,admin,
Cappuccino McCafe McDonald's,45,3,2,4,0,admin,
Cappuccino Milka Jacobs,415,8,10,47,4,admin,
Cappuccino Natural Hacendado,410,8,17,55,4,admin,
Captain's Morgan White Rum,216,0,0,0,0,admin,
Ceai,0,0,0,0,0,admin,
Ceai de mere Lord Nelson Lidl,3,0,0,1,0,admin,
Ceai fructe padure Lipton,4,1,0,1,0,admin,
Ceai Nestea Lemon 30% mai putin zahar,19,0,0,5,0,admin,
Ceai verde Haceando,24,0,0,6,0,admin,
Ceai verde aloe vera si capsuni Nestea Vitao,30,0,0,7,0,admin,
